master id,isin name,factsheet link,prospectus link
141146,LU0626907470,https://doc.morningstar.com/document/16e68dc52dbbf8c1d27634983aec76eb.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/4f70d982a02f0ec80a53dc2675a1e7af.msdoc/?clientid=imassg&key=32545d22b2a6e612
138532,LU0633140727,https://doc.morningstar.com/document/c02e34fd6be0dc6cb84f8eba890f7c7c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
138535,LU0633142186,https://doc.morningstar.com/document/c02e34fd6be0dc6cb84f8eba890f7c7c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
141147,LU0642271901,https://doc.morningstar.com/document/8d92a7e2f1bc223119722df052f4b388.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/a89d4a8bdce2ef2821fc70062f3983ff.msdoc/?clientid=imassg&key=32545d22b2a6e612
141148,LU0649033221,https://doc.morningstar.com/document/a7a2b102f6f79b973b9c0a32e981cccc.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/b2903660792e402444b4f6476882f50f.msdoc/?clientid=imassg&key=32545d22b2a6e612
138054,LU0650527681,https://doc.morningstar.com/document/2d91d32fc806ffcd85292749090febd1.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/d67b57c8e83f38e237e4403bb6ec17db.msdoc/?clientid=imassg&key=32545d22b2a6e612
141149,LU0671501129,https://doc.morningstar.com/document/bd7ab9acf6ea5b238a4bc0bb83995716.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/9e8390df6d4182dc7b07c080d98a4be9.msdoc/?clientid=imassg&key=32545d22b2a6e612
141150,LU0672654166,https://doc.morningstar.com/document/5bf19f9d94c0fa8c170a6c3d7a193d54.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/768561e3da4fcaaa2c5f28ce2b0c07f1.msdoc/?clientid=imassg&key=32545d22b2a6e612
141151,LU0672654240,https://doc.morningstar.com/document/00b129c4a7427c82381d78ebe938c989.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/768561e3da4fcaaa2c5f28ce2b0c07f1.msdoc/?clientid=imassg&key=32545d22b2a6e612
137988,LU0679940949,https://doc.morningstar.com/document/e40fa62a1c1be5056caaa5ad950cca43.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
138631,LU0679941327,https://doc.morningstar.com/document/cd393d420fdba1088e96966782ac0c7b.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
138633,LU0679941673,https://doc.morningstar.com/document/f9aeaa96c5da35a065046e1df245d64c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141152,LU0683595465,https://doc.morningstar.com/document/c02e34fd6be0dc6cb84f8eba890f7c7c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
141153,LU0683595895,https://doc.morningstar.com/document/c02e34fd6be0dc6cb84f8eba890f7c7c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
138533,LU0683596356,https://doc.morningstar.com/document/c02e34fd6be0dc6cb84f8eba890f7c7c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
138534,LU0683596430,https://doc.morningstar.com/document/c02e34fd6be0dc6cb84f8eba890f7c7c.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
138034,LU0683600562,https://doc.morningstar.com/document/80f0c5e52c16175b5a1fc47874babd40.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
141154,LU0683600646,https://doc.morningstar.com/document/80f0c5e52c16175b5a1fc47874babd40.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
141155,LU0683600729,https://doc.morningstar.com/document/80f0c5e52c16175b5a1fc47874babd40.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/c66c450b2ff22125f6fda9cb7366e672.msdoc/?clientid=imassg&key=32545d22b2a6e612
138037,LU0689472784,https://doc.morningstar.com/document/6350d17aabd59521d57eee5dd523e421.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/b2903660792e402444b4f6476882f50f.msdoc/?clientid=imassg&key=32545d22b2a6e612
138567,LU0689625878,https://doc.morningstar.com/document/c02e34fd6be0dc6c77e485e9e570832f.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/e29d85bf5adfeb2a53305d0880e2aed9.msdoc/?clientid=imassg&key=32545d22b2a6e612
138585,LU0689626256,https://doc.morningstar.com/document/c02e34fd6be0dc6cd7a3d8a9f3a6bd89.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/e29d85bf5adfeb2a53305d0880e2aed9.msdoc/?clientid=imassg&key=32545d22b2a6e612
141156,LU0690034276,https://doc.morningstar.com/document/5573d065b6a19a8ea61e31ea80931950.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141157,LU0706718169,https://doc.morningstar.com/document/493a12648ad9861bd39afb9b3c8afd3b.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/b2903660792e402444b4f6476882f50f.msdoc/?clientid=imassg&key=32545d22b2a6e612
141158,LU0706718243,https://doc.morningstar.com/document/493a12648ad9861bd39afb9b3c8afd3b.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/b2903660792e402444b4f6476882f50f.msdoc/?clientid=imassg&key=32545d22b2a6e612
141159,LU0706718326,https://doc.morningstar.com/document/493a12648ad9861bd39afb9b3c8afd3b.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/b2903660792e402444b4f6476882f50f.msdoc/?clientid=imassg&key=32545d22b2a6e612
141160,LU0706718672,https://doc.morningstar.com/document/493a12648ad9861bd39afb9b3c8afd3b.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/b2903660792e402444b4f6476882f50f.msdoc/?clientid=imassg&key=32545d22b2a6e612
141161,LU0725271786,https://doc.morningstar.com/document/16e68dc52dbbf8c1d27634983aec76eb.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/4f70d982a02f0ec80a53dc2675a1e7af.msdoc/?clientid=imassg&key=32545d22b2a6e612
141162,LU0726765562,https://doc.morningstar.com/document/8f709f9e35b585c76201ab45d4c44d40.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/adf774df269f8a47faf9ec371e4218e9.msdoc/?clientid=imassg&key=32545d22b2a6e612
138637,LU0731783048,https://doc.morningstar.com/document/549b8e2c80b17d59a305a2697100ecd8.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/d67b57c8e83f38e237e4403bb6ec17db.msdoc/?clientid=imassg&key=32545d22b2a6e612
141163,LU0731783394,https://doc.morningstar.com/document/549b8e2c80b17d59a305a2697100ecd8.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/d67b57c8e83f38e237e4403bb6ec17db.msdoc/?clientid=imassg&key=32545d22b2a6e612
141167,LU0738911758,https://doc.morningstar.com/document/add782016d20877991b1da18049d9cf0.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
141168,LU0738912566,https://doc.morningstar.com/document/89cd532c6c5c3e44b5ffbc1656235672.msdoc/?clientid=imassg&key=32545d22b2a6e612,https://doc.morningstar.com/document/0dde29462f1a59a60378e5177072ff62.msdoc/?clientid=imassg&key=32545d22b2a6e612
