GPS, NYSE
GPC, NYSE
H, NYSE
HBI, NYSE
PEAK, NYSE
HCA, NYSE
WELL, NYSE
FL, NYSE
GD, NYSE
HES, NYSE
HEI, NYSE
HIG, NYSE
HLF, NYSE
HII, NYSE
GLOB, NYSE
HMC, NYSE
HLT, NYSE
GSK, NYSE
HOG, NYSE
HFC, NYSE
HUM, NYSE
HSBC, NYSE
HUN, NYSE
SVC, NasdaqGS
ICE, NYSE
GS, NYSE
IFF, NYSE
HXL, NYSE
HPQ, NYSE
GPN, NYSE
IP, NYSE
ING, NYSE
INGR, NYSE
IBM, NYSE
IPG, NYSE
HAL, NYSE
HD, NYSE
IR, NYSE
HRL, NYSE
IRM, NYSE
ITT, NYSE
IT, NYSE
INFY, NYSE
JCI, NYSE
IVZ, NYSE
LHX, NYSE
K, NYSE
ITW, NYSE
KAR, NYSE
KEY, NYSE
JNPR, NYSE
KBH, NYSE
KEX, NYSE
KEYS, NYSE
KMI, NYSE
J, NYSE
JBL, NYSE
KKR, NYSE
KMT, NYSE
KIM, NYSE
KEP, NYSE
KO, NYSE
KMX, NYSE
KNX, NYSE
KSU, NYSE
KSS, NYSE
LAZ, NYSE
LFC, NYSE
JKS, NYSE
LDOS, NYSE
LEN, NYSE
LMT, NYSE
LOW, NYSE
LH, NYSE
KMB, NYSE
JNJ, NYSE
MA, NYSE
MAA, NYSE
LPX, NYSE
JEF, NYSE
M, NYSE
LYB, NYSE
LUV, NYSE
MCD, NYSE
LNT, NasdaqGS
MCO, NYSE
MAS, NYSE
MAC, NYSE
MCK, NYSE
MKC, NYSE
MFC, NYSE
MDP, NYSE
MMM, NYSE
MGA, NYSE
MHK, NYSE
MO, NYSE
MKL, NYSE
MLM, NYSE
MDT, NYSE
LYV, NYSE
MSI, NYSE
MOS, NYSE
MS, NYSE
MTB, NYSE
MTD, NYSE
MPC, NYSE
MTN, NYSE
MXL, NYSE
MSCI, NYSE
MUR, NYSE
MOH, NYSE
NEM, NYSE
MTH, NYSE
NEWR, NYSE
MRO, NYSE
NCR, NYSE
NOK, NYSE
NLSN, NYSE
NGG, NYSE
NOW, NYSE
NUE, NYSE
NVR, NYSE
NRG, NYSE
NLY, NYSE
NVS, NYSE
NKE, NYSE
OI, NYSE
OC, NYSE
NI, NYSE
NYT, NYSE
NWL, NasdaqGS
OMI, NYSE
O, NYSE
OKE, NYSE
PAYC, NYSE
PBI, NYSE
PAG, NYSE
PBH, NYSE
NYCB, NYSE
OSK, NYSE
PFG, NasdaqGS
OMC, NYSE
PGR, NYSE
PFE, NYSE
PH, NYSE
PNR, NYSE
PG, NYSE
PNW, NYSE
PEG, NYSE
PKG, NYSE
PKX, NYSE
PNC, NYSE
PRGO, NYSE
PSB, NYSE
PPG, NYSE
PTR, NYSE
PRU, NYSE
PSX, NYSE
PXD, NYSE
ORAN, NYSE
RCL, NYSE
PWR, NYSE
PLD, NYSE
RAD, NYSE
R, NYSE
PHM, NYSE
RIO, NYSE
RHI, NYSE
PSO, NYSE
RJF, NYSE
RH, NYSE
ROL, NYSE
REG, NasdaqGS
RNR, NYSE
PSA, NYSE
RPM, NYSE
RF, NYSE
RSG, NYSE
ROK, NYSE
RS, NYSE
SAM, NYSE
SCHW, NYSE
SEAS, NYSE
RY, NYSE
SF, NYSE
SIG, NYSE
PVH, NYSE
SIX, NYSE
SKT, NYSE
SAP, NYSE
SJM, NYSE
SMG, NYSE
SHAK, NYSE
SNX, NYSE
SPG, NYSE
SKX, NYSE
SO, NYSE
SPR, NYSE
SON, NYSE
SHW, NYSE
SONY, NYSE
SWK, NYSE
SU, NYSE
STM, NYSE
RNG, NYSE
LSI, NYSE
STT, NYSE
SYK, NYSE
SNA, NYSE
T, NYSE
TAL, NYSE
TECK, NYSE
TDS, NYSE
TDG, NYSE
TER, NasdaqGS
TDY, NYSE
TEF, NYSE
SYY, NYSE
TEVA, NYSE
SPXC, NYSE
SUI, NYSE
TDC, NYSE
TAP, NYSE
TGT, NYSE
TJX, NYSE
THC, NYSE
TMHC, NYSE
TRV, NYSE
TRP, NYSE
TMO, NYSE
TRI, NYSE
TTE, NYSE
TPX, NYSE
TSN, NYSE
TU, NYSE
TSM, NYSE
GL, NYSE
TWTR, NYSE
UNM, NYSE
UAL, NasdaqGS
TXT, NYSE
TOL, NYSE
UNF, NYSE
UNP, NYSE
