master id,isin name,price,date
141025,LU0273158872,205.25,2022-03-03
141026,LU0273164847,178.90,2022-03-03
138546,LU0274552982,7.32,2022-03-03
138614,LU0278457469,6.11,2022-03-03
138042,LU0278470058,21.79,2022-03-03
138612,LU0278470132,3.15,2022-03-03
141028,LU0279460462,18.20,2022-03-03
141029,LU0286668453,14.83,2022-03-03
141030,LU0286669428,5.57,2022-03-03
141031,LU0286669774,0.594,2022-03-03
141032,LU0287142896,1.99,2022-03-03
141033,LU0287143431,1.99,2022-03-03
138596,LU0288029514,9.15,2022-03-03
138597,LU0288029860,9.15,2022-03-03
141035,LU0289739699,696.70,2022-03-03
141041,LU0289960550,35.87,2022-03-03
141044,LU0294219869,17.93,2022-03-03
141045,LU0297942194,14.99,2022-03-03
141046,LU0297942434,12.96,2022-03-03
138078,LU0300737037,16.24,2022-03-03
141047,LU0300737201,8.91,2022-03-03
138107,LU0302445910,23.95,2022-03-03
138056,LU0303816028,12.47,2022-03-03
141048,LU0303821028,10.31,2022-03-03
138623,LU0304598229,9.78,2022-03-03
141049,LU0306806265,12.74,2022-03-03
141050,LU0306807586,4.22,2022-03-03
141051,LU0308772762,16.74,2022-03-03
141052,LU0310799852,6.22,2022-03-03
