provider_symbol,source_exchange,master_id,source_name,agrud_ticker,agrud_exchange_name,exchange_id,,security_type_id,provider_id
NFG,NYSE,44425,CFRA,NFG,NYSE,2,Coprorate Action Maintained,4,15
NGG,NYSE,44428,CFRA,NGG,NYSE,2,Coprorate Action Maintained,2,15
NI,NYSE,44435,CFRA,NI,NYSE,2,Coprorate Action Maintained,4,15
NJR,NYSE,44442,CFRA,NJR,NYSE,2,Coprorate Action Maintained,4,15
NKE,NYSE,44444,CFRA,NKE,NYSE,2,Coprorate Action Maintained,4,15
NLSN,NYSE,44449,CFRA,NLSN,NYSE,2,Coprorate Action Maintained,4,15
NLY,NYSE,44450,CFRA,NLY,NYSE,2,Coprorate Action Maintained,4,15
NNN,NYSE,44465,CFRA,NNN,NYSE,2,Coprorate Action Maintained,4,15
NOC,NYSE,44470,CFRA,NOC,NYSE,2,Coprorate Action Maintained,4,15
NOK,NYSE,44471,CFRA,NOK,NYSE,2,Coprorate Action Maintained,2,15
NOV,NYSE,44474,CFRA,NOV,NYSE,2,Coprorate Action Maintained,4,15
NOW,NYSE,44475,CFRA,NOW,NYSE,2,Coprorate Action Maintained,4,15
NRG,NYSE,44495,CFRA,NRG,NYSE,2,Coprorate Action Maintained,4,15
NSC,NYSE,44502,CFRA,NSC,NYSE,2,Coprorate Action Maintained,4,15
NUE,NYSE,44517,CFRA,NUE,NYSE,2,Coprorate Action Maintained,4,15
NVR,NYSE,44525,CFRA,NVR,NYSE,2,Coprorate Action Maintained,4,15
NVS,NYSE,44527,CFRA,NVS,NYSE,2,Coprorate Action Maintained,2,15
NWL,NasdaqGS,44531,CFRA,NWL,NASDAQ,1,Coprorate Action Maintained,4,15
NWN,NYSE,44532,CFRA,NWN,NYSE,2,Coprorate Action Maintained,4,15
NYCB,NYSE,44541,CFRA,NYCB,NYSE,2,Coprorate Action Maintained,4,15
NYT,NYSE,44544,CFRA,NYT,NYSE,2,Coprorate Action Maintained,4,15
O,NYSE,44545,CFRA,O,NYSE,2,Coprorate Action Maintained,4,15
OC,NYSE,44551,CFRA,OC,NYSE,2,Coprorate Action Maintained,4,15
OGE,NYSE,44560,CFRA,OGE,NYSE,2,Coprorate Action Maintained,4,15
OGS,NYSE,44561,CFRA,OGS,NYSE,2,Coprorate Action Maintained,4,15
OI,NYSE,44563,CFRA,OI,NYSE,2,Coprorate Action Maintained,4,15
OKE,NYSE,44568,CFRA,OKE,NYSE,2,Coprorate Action Maintained,4,15
OLN,NYSE,44570,CFRA,OLN,NYSE,2,Coprorate Action Maintained,4,15
OMC,NYSE,44573,CFRA,OMC,NYSE,2,Coprorate Action Maintained,4,15
OMI,NYSE,44576,CFRA,OMI,NYSE,2,Coprorate Action Maintained,4,15
ORA,NYSE,44583,CFRA,ORA,NYSE,2,Coprorate Action Maintained,4,15
ORAN,NYSE,44584,CFRA,ORAN,NYSE,2,Coprorate Action Maintained,2,15
OSK,NYSE,44587,CFRA,OSK,NYSE,2,Coprorate Action Maintained,4,15
OXY,NYSE,44591,CFRA,OXY,NYSE,2,Coprorate Action Maintained,4,15
PAG,NYSE,44597,CFRA,PAG,NYSE,2,Coprorate Action Maintained,4,15
PANW,NYSE,44602,CFRA,PANW,NYSE,2,Coprorate Action Maintained,4,15
PAYC,NYSE,44605,CFRA,PAYC,NYSE,2,Coprorate Action Maintained,4,15
PBH,NYSE,44610,CFRA,PBH,NYSE,2,Coprorate Action Maintained,4,15
PBI,NYSE,44611,CFRA,PBI,NYSE,2,Coprorate Action Maintained,4,15
PBR,NYSE,44612,CFRA,PBR,NYSE,2,Coprorate Action Maintained,2,15
PEG,NYSE,44631,CFRA,PEG,NYSE,2,Coprorate Action Maintained,4,15
PEP,NasdaqGS,44634,CFRA,PEP,NASDAQ,1,Coprorate Action Maintained,4,15
PFE,NYSE,44639,CFRA,PFE,NYSE,2,Coprorate Action Maintained,4,15
PFG,NasdaqGS,44640,CFRA,PFG,NASDAQ,1,Coprorate Action Maintained,4,15
PG,NYSE,44646,CFRA,PG,NYSE,2,Coprorate Action Maintained,4,15
PGR,NYSE,44652,CFRA,PGR,NYSE,2,Coprorate Action Maintained,4,15
PH,NYSE,44655,CFRA,PH,NYSE,2,Coprorate Action Maintained,4,15
PHM,NYSE,44661,CFRA,PHM,NYSE,2,Coprorate Action Maintained,4,15
PKG,NYSE,44670,CFRA,PKG,NYSE,2,Coprorate Action Maintained,4,15
PKI,NYSE,44671,CFRA,PKI,NYSE,2,Coprorate Action Maintained,4,15
PKX,NYSE,44673,CFRA,PKX,NYSE,2,Coprorate Action Maintained,2,15
PLD,NYSE,44675,CFRA,PLD,NYSE,2,Coprorate Action Maintained,4,15
POLY,NYSE,44678,CFRA,POLY,NYSE,2,Coprorate Action Maintained,4,15
PM,NYSE,44679,CFRA,PM,NYSE,2,Coprorate Action Maintained,4,15
PNC,NYSE,44688,CFRA,PNC,NYSE,2,Coprorate Action Maintained,4,15
PNM,NYSE,44692,CFRA,PNM,NYSE,2,Coprorate Action Maintained,4,15
PNR,NYSE,44693,CFRA,PNR,NYSE,2,Coprorate Action Maintained,4,15
PNW,NYSE,44694,CFRA,PNW,NYSE,2,Coprorate Action Maintained,4,15
