source_symbol,source_exchange
MAT,NasdaqGS
MCHP,NasdaqGS
MDLZ,NasdaqGS
MDRX,NasdaqGS
MKSI,NasdaqGS
MNRO,NasdaqGS
MNST,NasdaqGS
MPWR,NasdaqGS
MRVL,NasdaqGS
MSFT,NasdaqGS
MU,NasdaqGS
NAVI,NasdaqGS
NBIX,NasdaqGS
NCLH,NYSE
NDAQ,NasdaqGS
NFLX,NasdaqGS
NICE,NasdaqGS
NKTR,NasdaqGS
NTAP,NasdaqGS
NTCT,NasdaqGS
NTES,NasdaqGS
NTGR,NasdaqGS
NTRS,NasdaqGS
NUAN,NasdaqGS
NVAX,NasdaqGS
NVDA,NasdaqGS
NWSA,NasdaqGS
NXPI,NasdaqGS
ODFL,NasdaqGS
OLED,NasdaqGS
ON,NasdaqGS
ORLY,NasdaqGS
PAYX,NasdaqGS
PBCT,NasdaqGS
PCAR,NasdaqGS
BKNG,NasdaqGS
PDCO,NasdaqGS
PEGA,NasdaqGS
PENN,NasdaqGS
PLUG,NasdaqGS
PODD,NasdaqGS
POOL,NasdaqGS
PTEN,NasdaqGS
PZZA,NasdaqGS
QCOM,NasdaqGS
QGEN,NYSE
QRVO,NasdaqGS
REGI,NasdaqGS
REGN,NasdaqGS
RGLD,NasdaqGS
RMBS,NasdaqGS
ROST,NasdaqGS
SABR,NasdaqGS
SAFM,NasdaqGS
SANM,NasdaqGS
SAVE,NYSE
SBAC,NasdaqGS
SBGI,NasdaqGS
SBUX,NasdaqGS
SFM,NasdaqGS
SGEN,NasdaqGS
SIRI,NasdaqGS
SIVB,NasdaqGS
SKYW,NasdaqGS
SLAB,NasdaqGS
SLGN,NasdaqGS
SMTC,NasdaqGS
SNPS,NasdaqGS
RBBN,NasdaqGS
SPWR,NasdaqGS
SRCL,NasdaqGS
SSYS,NasdaqGS
STLD,NasdaqGS
STX,NasdaqGS
SWKS,NasdaqGS
NLOK,NasdaqGS
SYNA,NasdaqGS
TNDM,NasdaqGS
TRIP,NasdaqGS
TRMB,NasdaqGS
TRMK,NasdaqGS
TROW,NasdaqGS
TSCO,NasdaqGS
TSLA,NasdaqGS
TTEK,NasdaqGS
TTWO,NasdaqGS
TXN,NasdaqGS
ULTA,NasdaqGS
UNFI,NYSE
URBN,NasdaqGS
VOD,NasdaqGS
VRSK,NasdaqGS
VRSN,NasdaqGS
VRTX,NasdaqGS
WABC,NasdaqGS
WBA,NasdaqGS
WDC,NasdaqGS
WDFC,NasdaqGS
WYNN,NasdaqGS
XLNX,NasdaqGS
XRAY,NasdaqGS
YY,NasdaqGS
Z,NasdaqGS
ZBRA,NasdaqGS
ZION,NasdaqGS
AMD,NasdaqGS
DOX,NasdaqGS
GT,NasdaqGS
MAR,NasdaqGS
ODP,NasdaqGS
PPC,NasdaqGS
PTC,NasdaqGS
RDS.A,NYSE
SYNH,NasdaqGS
SEDG,NasdaqGS
BF.B,NYSE
BRK.B,NYSE
KHC,NasdaqGS
PYPL,NasdaqGS
ES,NYSE
LNG,NYSEAM
NG,NYSEAM
WRK,NYSE
LITE,NasdaqGS
HPE,NYSE
TMUS,NasdaqGS
ENR,NYSE
WLTW,NasdaqGS
AGR,NYSE
TWLO,NYSE
SPGI,NYSE
AC,NYSE
TDOC,NYSE
PSTG,NYSE
FTV,NYSE
SQ,NYSE
PFGC,NYSE
SUM,NYSE
CC,NYSE
ETSY,NasdaqGS
RUN,NasdaqGS
TEAM,NasdaqGS
INFO,NYSE
SHOP,NYSE
USFD,NYSE
ADNT,NYSE
UAA,NYSE
ZG,NasdaqGS
NTNX,NasdaqGS
HUBB,NYSE
VVV,NYSE
YUMC,NYSE
CNDT,NasdaqGS
TTD,NasdaqGS
AMN,NYSE
SNAP,NYSE
RELX,NYSE
RACE,NYSE
SR,NYSE
COUP,NasdaqGS
DXC,NYSE
INVH,NYSE
LW,NYSE
