source_symbol,source_exchange,master_id
EAT,NYSE,43509
OVV,NYSE,43514
ECL,NYSE,43516
ED,NYSE,43520
EDU,NYSE,43527
EFX,NYSE,43536
EGP,NYSE,43541
EIX,NYSE,43546
EL,NYSE,43548
ELY,NYSE,43553
EMN,NYSE,43559
EMR,NYSE,43561
EPAM,NYSE,43580
EQR,NYSE,43586
EQT,NYSE,43588
ERJ,NYSE,43592
ESS,NYSE,43601
ETN,NYSE,43609
ETR,NYSE,43612
EVR,NYSE,43627
EW,NYSE,43630
EXC,NasdaqGS,43633
EXP,NYSE,43639
EXR,NYSE,43641
F,NYSE,43642
FBHS,NYSE,43648
STLA,NYSE,43652
FDS,NYSE,43662
FDX,NYSE,43663
FE,NYSE,43664
FHN,NYSE,43677
FICO,NYSE,43680
FHI,NYSE,43683
FIS,NYSE,43684
FL,NYSE,43686
FLO,NYSE,43688
FLR,NYSE,43689
FLS,NYSE,43690
FLT,NYSE,43691
FMC,NYSE,43694
FMS,NYSE,43698
FNF,NYSE,43704
FR,NYSE,43714
FRT,NYSE,43719
FTI,NYSE,43726
G,NYSE,43734
ITGR,NYSE,43738
TGNA,NYSE,43745
GD,NYSE,43748
GE,NYSE,43755
GES,NYSE,43762
GGG,NYSE,43772
GIS,NYSE,43786
GLOB,NYSE,43788
GLW,NYSE,43793
GM,NYSE,43794
GMED,NYSE,43796
GNRC,NYSE,43803
GPC,NYSE,43809
GPI,NYSE,43810
GPN,NYSE,43813
GPS,NYSE,43815
GS,NYSE,43824
GSK,NYSE,43827
GWW,NYSE,43838
H,NYSE,43842
HAL,NYSE,43844
HBI,NYSE,43847
HCA,NYSE,43849
WELL,NYSE,43853
PEAK,NYSE,43854
HD,NYSE,43855
HE,NYSE,43857
HEI,NYSE,43858
HES,NYSE,43862
HFC,NYSE,43864
HIG,NYSE,43874
HII,NYSE,43875
HLF,NYSE,43883
HLT,NYSE,43885
HMC,NYSE,43887
HOG,NYSE,43896
HON,NasdaqGS,43897
HP,NYSE,43901
HPQ,NYSE,43905
SVC,NasdaqGS,43907
HRC,NYSE,43913
HRL,NYSE,43915
LHX,NYSE,43916
HSBC,NYSE,43918
HSY,NYSE,43922
HUM,NYSE,43933
HUN,NYSE,43934
HXL,NYSE,43938
IBM,NYSE,43950
ICE,NYSE,43956
IFF,NYSE,43962
INFY,NYSE,43986
ING,NYSE,43987
INGR,NYSE,43988
IP,NYSE,43995
IPG,NYSE,43996
IR,NYSE,44000
IRM,NYSE,44004
IT,NYSE,44009
ITT,NYSE,44012
ITW,NYSE,44014
IVZ,NYSE,44018
JBL,NYSE,44021
JCI,NYSE,44024
J,NYSE,44028
JKS,NYSE,44039
JNJ,NYSE,44049
JNPR,NYSE,44050
JPM,NYSE,44059
JWN,NYSE,44070
K,NYSE,44071
KAR,NYSE,44074
KBH,NYSE,44077
KEP,NYSE,44085
KEX,NYSE,44086
KEY,NYSE,44087
KEYS,NYSE,44088
KIM,NYSE,44094
KKR,NYSE,44098
KMB,NYSE,44099
KMI,NYSE,44102
KMT,NYSE,44105
KMX,NYSE,44106
KNX,NYSE,44112
KO,NYSE,44113
KR,NYSE,44119
KSS,NYSE,44126
KSU,NYSE,44128
L,NYSE,44136
LAD,NYSE,44137
LAZ,NYSE,44140
BBWI,NYSE,44141
LDOS,NYSE,44148
LEA,NYSE,44151
LEN,NYSE,44156
LFC,NYSE,44160
LH,NYSE,44165
LII,NYSE,44167
LLY,NYSE,44171
LMT,NYSE,44173
LNC,NYSE,44174
LNT,NasdaqGS,44178
LOW,NYSE,44182
LPX,NYSE,44187
JEF,NYSE,44194
LUV,NYSE,44195
LVS,NYSE,44198
LYB,NYSE,44204
LYV,NYSE,44206
M,NYSE,44208
MA,NYSE,44209
MAA,NYSE,44210
MAC,NYSE,44211
MAS,NYSE,44215
MCD,NYSE,44224
MCK,NYSE,44226
MCO,NYSE,44228
MD,NYSE,44233
MDP,NYSE,44236
MDT,NYSE,44238
MDU,NYSE,44239
MET,NYSE,44245
MFC,NYSE,44247
MGA,NYSE,44255
MHK,NYSE,44264
MKC,NYSE,44280
MKL,NYSE,44281
MLM,NYSE,44283
MMC,NYSE,44287
MMM,NYSE,44290
MO,NYSE,44301
MOH,NYSE,44304
MOS,NYSE,44307
MPC,NYSE,44310
MRK,NYSE,44323
MRO,NYSE,44324
MS,NYSE,44325
MSCI,NYSE,44328
MSI,NYSE,44331
MTB,NYSE,44337
MTD,NYSE,44338
MTH,NYSE,44341
MTN,NYSE,44343
MTX,NYSE,44351
MUR,NYSE,44359
MXL,NYSE,44375
NCR,NYSE,44407
NEE,NYSE,44416
NEM,NYSE,44418
NEWR,NYSE,44424
NFG,NYSE,44425
NGG,NYSE,44428
NI,NYSE,44435
NJR,NYSE,44442
NKE,NYSE,44444
NLSN,NYSE,44449
NLY,NYSE,44450
NNN,NYSE,44465
NOC,NYSE,44470
NOK,NYSE,44471
NOV,NYSE,44474
NOW,NYSE,44475
NRG,NYSE,44495
NSC,NYSE,44502
NUE,NYSE,44517
NVR,NYSE,44525
NVS,NYSE,44527
NWL,NasdaqGS,44531
NWN,NYSE,44532
NYCB,NYSE,44541
NYT,NYSE,44544
O,NYSE,44545
OC,NYSE,44551
OGE,NYSE,44560
OGS,NYSE,44561
OI,NYSE,44563
OKE,NYSE,44568
OLN,NYSE,44570
OMC,NYSE,44573
OMI,NYSE,44576
ORA,NYSE,44583
ORAN,NYSE,44584
OSK,NYSE,44587
OXY,NYSE,44591
PAG,NYSE,44597
PANW,NYSE,44602
PAYC,NYSE,44605
PBH,NYSE,44610
PBI,NYSE,44611
PBR,NYSE,44612
PEG,NYSE,44631
PEP,NasdaqGS,44634
PFE,NYSE,44639
PFG,NasdaqGS,44640
PG,NYSE,44646
PGR,NYSE,44652
PH,NYSE,44655
PHM,NYSE,44661
PKG,NYSE,44670
PKI,NYSE,44671
PKX,NYSE,44673
PLD,NYSE,44675
POLY,NYSE,44678
PM,NYSE,44679
PNC,NYSE,44688
PNM,NYSE,44692
PNR,NYSE,44693
PNW,NYSE,44694
POR,NYSE,44699
PPG,NYSE,44702
PPL,NYSE,44703
PRGO,NYSE,44712
PRU,NYSE,44716
PSA,NYSE,44717
PSB,NYSE,44718
PSO,NYSE,44721
PSX,NYSE,44722
PTR,NYSE,44726
PVH,NYSE,44731
PWR,NYSE,44733
PXD,NYSE,44735
R,NYSE,44749
RAD,NYSE,44750
RCL,NYSE,44761
RE,NYSE,44766
REG,NasdaqGS,44767
RF,NYSE,44775
RH,NYSE,44784
RHI,NYSE,44785
RIG,NYSE,44789
RIO,NYSE,44791
RJF,NYSE,44794
RL,NYSE,44797
RMD,NYSE,44805
RNG,NYSE,44811
RNR,NYSE,44814
ROK,NYSE,44816
ROL,NYSE,44817
ROP,NYSE,44818
RPM,NYSE,44821
RS,NYSE,44827
RSG,NYSE,44829
RY,NYSE,44841
SAH,NYSE,44848
SAIC,NYSE,44849
SAM,NYSE,44851
SAP,NYSE,44853
SCHW,NYSE,44866
SEAS,NYSE,44878
SEE,NYSE,44879
SF,NYSE,44884
SHAK,NYSE,44896
SHW,NYSE,44901
SIG,NYSE,44903
SIX,NYSE,44905
SJI,NYSE,44906
SJM,NYSE,44907
SKT,NYSE,44912
SKX,NYSE,44913
SLB,NYSE,44914
SLG,NYSE,44917
SMG,NYSE,44922
SMP,NYSE,44926
SNA,NYSE,44928
SONY,NYSE,44929
SNN,NYSE,44932
SNV,NYSE,44936
SNX,NYSE,44937
SO,NYSE,44939
SON,NYSE,44941
SPG,NYSE,44947
SPR,NYSE,44951
SPXC,NYSE,44952
SRE,NYSE,44958
LSI,NYSE,44971
STM,NYSE,44984
STT,NYSE,44992
SU,NYSE,44996
SUI,NYSE,44997
SWK,NYSE,45007
SWX,NYSE,45010
SYF,NYSE,45019
SYK,NYSE,45020
SYY,NYSE,45023
T,NYSE,45025
TAL,NYSE,45030
TAP,NYSE,45032
TECK,NYSE,45039
TD,NYSE,45044
TDC,NYSE,45045
TDG,NYSE,45047
TDS,NYSE,45048
TDY,NYSE,45050
TEF,NYSE,45052
TEL,NYSE,45055
TER,NasdaqGS,45059
